Oklahoma Native Plant Record	2379-4011
Boletín de Arte	1853-0710
Opus	0103-7412
Mirror of Research in Veterinary Sciences and Animals	2520-324X
AM: Art + Media	2217-9666
Materiali in Tehnologije	1580-2949
Journal of Subject Didactics	2466-4618
Estudios de Teoría Literaria	2313-9676
Balcanica	0350-7653
Khazanah Pendidikan	1979-6668
Journal of Medical Physiology	2538-2322
Lìngvìsti?nì Studìï	1815-3070
Vestnik Nau?nogo Centra po Bezopasnosti Rabot v Ugol?noj Promyšlennosti	2072-6554
Folia Geographica	1336-6157
Journal of Educational Practice and Research	1993-5633
Antarctic Record	0085-7289
Korean Journal of Thoracic and Cardiovascular Surgery	2233-601X
Süleyman Demirel Üniversitesi T?p Fakültesi Dergisi	1300-7416
Düzce Üniversitesi Bilim ve Teknoloji Dergisi	2148-2446
Marmara ?leti?im Dergisi	1300-4050
Bihd?sht-i Mav?dd-i Ghaz??y?	2228-7647
Pizh?hish-i Naft	2345-2900
Majallah-i D?nishkadah-i ?ul?m-i Pizishk?-i Niysh?b?r	2383-3203
Numerical: Jurnal Matematika dan Pendidikan Matematika	2580-3573
Soepra: Jurnal Hukum Kesehatan	2548-818X
Al-Fikrah: Jurnal Manajemen Pendidikan	2339-0131
Raízes Jurídicas	1981-3872
Revista Forum	2525-6211
Gra?evinar	0350-2465
Prague Medical Report	1214-6994
Acta Universitatis Carolinae Geographica	0300-5402
Elektrika	2085-0565
Jurnal Sportif	2548-7833
Al-Izzah	1978-9726
Psikodimensia: Kajian Ilmiah Psikologi	1411-6073
Jurnal Hukum Islam	1829-7382
Revista de Pesquisa e Educação Jurídica	2525-9636
Pravni Vjesnik	0352-5317
Contabilitate ?i Informatic? de Gestiune	1583-4387
JPPPF: Jurnal Penelitian & Pengembangan Pendidikan Fisika	2461-0933
Journal of Aceh Physics Society	2355-8229
Jurnal Indria: Jurnal Ilmiah Pendidikan Prasekolah dan Sekolah Awal	2579-7255
Counsellia: Jurnal Bimbingan dan Konseling	2088-3072
Indonesian Nursing Journal of Education and Clinic	2527-8800
Russian Journal of Ecosystem Ecology	2500-0578
Pizh?hish dar ?m?zish-i ?ul?m-i Pizishk?	2008-7284
Majallah-i d?nishg?h-i ?ul?m-i pizishk?-i Ar?k	2008-644X
SJME: Supremum Journal of Mathematics Education	2549-3639
Jurnal Komunikasi	1978-4597
Journal of Applied Geospatial Information	2579-3608
Baltic Journal of Economic Studies	2256-0963
Jurnal Teknologi & Industri Hasil Pertanian	2302-4399
Fìzika Napìvprovìdnikìv Kvantova ta Optoelektronìka	1560-8034
International Journal of Medical Reviews and Case Reports	2534-9821
Aktual?nì Problemi Rozvitku Ekonomìki Regìonu	2313-8246
Jurnal Kebidanan	2301-8372
British Journal of American Legal Studies	2049-4092
Journal of Interdisciplinary Medicine	2501-8132
Acta Economica et Turistica	1849-921X
Annales Mathematicae Silesianae	0860-2107
Studia Universitatis Babes-Bolyai Sociologia	2066-0464
Economics and Culture	2256-0173
Kairos: Journal of Philosophy & Science	1647-659X
Naukovì Zapiski NaUKMA: Ekonomì?nì Nauki	2519-4739
Mosaico	2176-8943
R?hburdh?-yi tusi?ah-i r?st?y?	2383-1995
Società e diritti	2531-6710
Categories and General Algebraic Structures with Applications	2345-5861
Journal of Education and Teaching in Emergency Medicine	2474-1949
The Journal of Engineering Research	1726-6009
Chronicles of Pharmaceutical Sciences	2572-7761
Revista Prática Docente	2526-2149
Revista Brasileira de Geomática	2317-4285
Revista Estudo & Debate	1983-036X
Applied tourism	2448-3524
Cadernos de Educação	2178-079X
Revista Labor	1983-5000
Revista de Finanças Públicas, Tributação e Desenvolvimento (UERJ)	2317-837X
Informação em Pauta	2525-3468
International Journal of Psychology: A Biopsychosocial Approach	1941-7233
Media Gizi Mikro Indonesia	2354-8746
Profesìonalìzm Pedagoga: Teoreti?nì j Metodi?nì Aspekti	2414-9292
Journal of Advances in Vehicle Engineering	2423-7345
Advances in Operator Theory	2538-225X
Systems Science & Control Engineering	2164-2583
Clinical Practice and Cases in Emergency Medicine	2474-252X
At-Tajdid: Jurnal Ilmu Tarbiyah	1978-4767
Spirakel	2086-1346
Penelitian Gizi dan Makanan	0125-9717
Hepatology Communications	2471-254X
French-Ukrainian Journal of Chemistry	2312-3222
Vìsnik Nacìonal?nogo Tehnì?nogo Unìversitetu «HPÌ». Serìâ: Strategì?ne Upravlìnnâ, Upravlìnnâ Portfelâmi, Programami ta Proektami	2311-4738
PharmacoEconomics - Open	2509-4254
Isecure	2008-3076
Journal of Membrane Science and Research	2476-5406
Iranian Rehabilitation Journal	1735-3610
Logic	1412-114X
Bhakti Persada: Jurnal Aplikasi Ipteks	2477-4022
Soshum: Jurnal Sosial dan Humaniora	2088-2262
Matrix: Jurnal Manajemen Teknologi dan Informatika	2088-284X
Sanitasi: Jurnal Kesehatan Lingkungan	1978-5763
Jurnal Tata Kelola dan Akuntabilitas Keuangan Negara	2460-3937
Journal of Education Research and Evaluation	2597-422X
Jurnal Cakrawala Hukum	2356-4962
Studia Polensia	1848-4905
Wahana Fisika: Jurnal Penelitian Fisika dan Terapannya	2549-1989
Al 'Adalah: Jurnal Hukum Islam	0854-1272
Ijtimaiyya	1979-052X
Bangladesh Journal of Scientific and Industrial Research	2224-7157
Journal of the Endocrine Society	2472-1972
Revista do Direito do Trabalho e Meio Ambiente do Trabalho	2525-9857
Zeitschrift für Medienwissenschaft	1869-1722
Rect@	1575-605X
Étic@net	1695-324X
Riparia	2443-9762
Talia dixit	1886-9440
Doxa Comunicación	2386-3978
Tecnología, Ciencia y Educación	2444-250X
eco.mont	2073-106X
iMex. México Interdisciplinario/Interdisciplinary Mexico	2193-9756
Iberoamericana. América Latina - España - Portugal	1577-3388
IE Revista de Investigación Educativa de la REDIECH	2007-4336
She Ji: The Journal of Design, Economics and Innovation	2405-8726
Revista de Direitos Sociais, Seguridade e Previdência Social	2525-9865
Standartnye Obrazcy	2077-1177
ACS Omega	2470-1343
Jurnal informatika UPGRIS	2460-4801
Wardah	1412-3711
Jurnal Keperawatan Soedirman	1907-6673
Nalars	1412-3266
Majalah Bisnis Dan IPTEK	1410-6949
Query: Jurnal Sistem Informasi	2579-5341
Jurnal Administrasi Pendidikan	1412-8152
SCHOULID: Indonesian Journal of School Counseling	2548-3234
LLT Journal: A Journal on Language and Language Teaching	1410-7201
Ta'allum: Jurnal Pendidikan Islam	2303-1891
Jurnal Teknik Mesin	2089-7235
Derivatif	1978-6573
Journal of Communications Software and Systems	1845-6421
Brain Informatics	2198-4026
INSIST (International Series on Integrated Science and Technology)	2502-8588
Revista de Política Judiciária, Gestão e Administração da Justiça	2525-9822
Revista de Processo, Jurisdição e Efetividade da Justiça	2525-9814
npj Precision Oncology	2397-768X
npj 2D Materials and Applications	2397-7132
Journal of Military Studies	1799-3350
International Journal of Computer Science in Sport	1684-4769
Board Game Studies Journal	2183-3311
Macrolinguistics	1934-5755
IJoLE: International Journal of Language Education	2548-8457
Scientific Phone Apps and Mobile Devices	2364-4958
Serendipities. Journal for the Sociology and History of the Social Sciences	2521-0947
Wissen schafft Demokratie	2512-9716
Journal of frailty, sarcopenia and falls	2459-4148
Proceedings of the International Association of Hydrological Sciences	2199-8981
Revista Brasileira Multidisciplinar - ReBraM	1415-3580
Territorium: Revista Portuguesa de riscos, prevenção e segurança	0872-8941
Convergências - Revista de Investigação e Ensino das Artes	1646-9054
Loggia, Arquitectura & Restauración	1136-758X
Pet Behaviour Science	2445-2874
International Journal of Business and Social Research	2164-2540
Ratio Mathematica	1592-7415
Edusol	1729-8091
Revista de la Facultad de Ciencias	0121-747X
Condensed Matter Physics	1607-324X
Vestnik Novosibirskogo Gosudarstvennogo Universiteta. Seriâ: Social?no-Èkonomi?eskie Nauki	1818-7862
Mir Èkonomiki i Upravleniâ	2542-0429
International Journal of Librarianship (IJoL)	2474-3542
Unnes Civic Education Journal	2252-6293
COUNS-EDU: The International Journal of Counseling and Education	2548-348X
Jurnal Farmasi Sains dan Komunitas	1693-5683
International Journal of Artificial Intelligence Research	2579-7298
Jurnal Berkala Epidemiologi	2301-7171
Polyglot: Jurnal Ilmiah	1907-6134
Jurnal Ekonomi, Bisnis dan Entrepreneurship	2443-0633
Jurnal Rechts Vinding: Media Pembinaan Hukum Nasional	2089-9009
Francisola: Revue Indonésienne de la Langue et la Littérature Françaises	2527-5097
Jurnal Ilmu Sosial dan Humaniora	2303-2898
Jurnal Ilmu Ekonomi dan Pembangunan	1412-2200
Journal of Sustainable Development of Transport and Logistics	2520-2979
Revista Scientific	2542-2987
Métodos y Materiales	2215-342X
The International Journal of James Bond Studies	2514-2178
Interfaces Brasil/Canadá	1984-5677
PPAR Research	1687-4757
Jurnal Pengembangan Rekayasa dan Teknologi	1410-9840
JLI: Jurnal Litbang Industri	2252-3367
Jurnal Agrosains dan Teknologi	2528-0201
Jurnal Teknologi Laboratorium	2338-5634
Langkawi: Journal of The Association for Arabic and English	2460-2280
Millati: Journal of Islamic Studies and Humanities	2541-3627
JGEET: Journal of Geoscience, Engineering, Environment and Technology	2503-216X
Indonesian Journal of Applied Physics	2089-0133
JBJS Open Access	2472-7245
Revista de Ingeniería de Construcción	0718-5073
Organization, Technology and Management in Construction: An International Journal	1847-6228
Seuteureseu Yeon-gu	1225-665X
Kontigensi: Jurnal Ilmiah Manajemen	2088-4877
Jurnal Riset Bisnis dan Manajemen	1979-0600
Jurnal Pena Sains	2407-2311
Jurnal Ekonomi Pendidikan dan Kewirausahaan	2303-324X
Muqtasid: Jurnal Ekonomi dan Perbankan Syariah	2087-7013
Jurnal Fisika Flux	1829-796X
CNJ: Caring Nursing Journal	2580-0078
Citizenship: Jurnal Pendidikan Pancasila dan Kewarganegaraan	2302-433X
Jurnal Ilmiah Wahana Akuntansi	2302-1810
Jurnal Riset Manajemen Sains Indonesia	2301-8313
Media Ekonomi dan Manajemen	0854-1442
Jurnal Siasat Bisnis	0853-7666
Journal of Health Science and Prevention	2549-919X
Jurnal Riset Ekonomi dan Bisnis	1979-4800
Jurnal Teknologi Pangan dan Hasil Pertanian	1693-9115
Jurnal Ius Constituendum	2541-2345
Jurnal Dinamika Sosial Budaya	1410-9859
Jurnal Sejarah Citra Lekha	2443-0110
Trikonomika	1411-514X
Journal of Regional and City Planning	2502-6429
Revista Chilena de Relaciones Internacionales	0719-8256
Pediatric Quality & Safety	2472-0054
Lingua Sinica	2197-6678
Media Ekonomi	2442-9686
Satya Widya	0854-5995
Potensi: Jurnal Kependidikan Islam	1693-1025
Journal Kedokteran Indonesia	2338-1426
Edukasi: Jurnal Penelitian dan Artikel Pendidikan	2085-1472
Global justice: Theory, Practice, Rhetoric	1835-6842
Urban Rail Transit	2199-6679
Data Science and Engineering	2364-1541
High Voltage	2397-7264
Zbornik Radova Filozofskog Fakulteta u Prištini	0354-3293
Miguilim	2317-0433
Revista Brasileira de Ensino Superior	2447-3944
Direito Izabela Hendrix	2237-955X
Cadernos de Gênero e Diversidade	2525-6904
Princípios	1983-2109
Kalagatos	1984-9206
Journal of Contemporary Issues in Education	1718-4770
Ekonomìka Har?ovoï Promislovostì	2312-847X
Journal of Peer Production	2213-5316
Toloo-e-behdasht	1728-5127
Juris (Jurnal Ilmiah Syariah)	1412-6109
Revista Valore	2526-043X
Journal of Veterinary Andrology	2542-3045
Revista Exitus	2237-9460
Pharmaceutical Biology	1744-5116
Evidence Base	1838-9422
Biblica et Patristica Thoruniensia	1689-5150
Cuadernos de Gestión de Información	2253-8429
Debats	0212-0585
Teologia i Cz?owiek	1731-5638
Dynamic Econometric Models	1234-3862
Cakrawala: Jurnal Studi Islam	1829-8931
Indonesia Journal of Biomedical Science	2302-2906
Ta'dib	1410-8208
Estudios de Fonética Experimental	1575-5533
Analytical and Bioanalytical Chemistry Research	2383-093X
Journal of Humanitarian Engineering	2200-7571
Journal of Immunotoxicology	1547-6901
Atmospheric and Oceanic Science Letters	2376-6123
Journal of Enzyme Inhibition and Medicinal Chemistry	1475-6374
Drug Delivery	1521-0464
Nanocomposites	2055-0332
Catalysis, Structure & Reactivity	2055-0758
Advanced Device Materials	2055-0316
Advanced Manufacturing: Polymer & Composites Science	2055-0359
Historia Universitatis Iassiensis	2285-9071
Journal of Medives	2549-8231
Sainstek: Jurnal Sains dan Teknologi	2085-8019
Varia Justicia	1907-3216
Revista Bibliotecas	1659-3286
Anales de la Facultad de Medicina	2301-1254
A Cor das Letras	1415-8973
American Journal of Men's Health	1557-9891
Proceedings of Singapore Healthcare	2059-2329
Social Cognitive and Affective Neuroscience	1749-5024
Financial Innovation	2199-4730
Mathematics-in-Industry Case Studies	1913-4967
Jurnal Pendidikan Ekonomi dan Bisnis (JPEB)	2302-2663
Acta Polytechnica CTU Proceedings	2336-5382
Agrin: Jurnal Penelitian Pertanian	1410-0029
Kesmas Indonesia: Jurnal Ilmiah Kesehatan Masyarakat	2085-9929
Journal of Public Sector Economics	2459-8860
Direito, Estado e Sociedade	1982-0879
Miscellanea Hadriatica et Mediterranea	1849-0670
Revista de Letras	2179-5282
Revista de Carreira e Pessoas	2237-1427
Journal of International Humanitarian Action	2364-3404
Asian-Pacific Journal of Second and Foreign Language Education	2363-5169
Landa	2316-5847
BLDE University Journal of Health Sciences	2456-1975
Journal of Public Administration, Finance and Law	2285-2204
Bulletin of the Transilvania University of Bra?ov: Series VII: Social Sciences, Law	2066-7701
Al-Tadzkiyyah: Jurnal Pendidikan Islam	2086-9118
Jurnal Kajian Informasi dan Perpustakaan	2303-2677
Jurnal Kajian Komunikasi	2303-2006
Psihijatrija Danas	0350-2538
Nasle?e	1450-605X
RUAS	2477-6033
Tadris: Jurnal Keguruan dan Ilmu Tarbiyah	2301-7562
Rekayasa Sipil	2502-6348
Cellular and Molecular Gastroenterology and Hepatology	2352-345X
Vìsnik Dnìpropetrovs?kogo Unìversitetu. Serìâ: Ìstorìâ ta Arheologìâ	2412-5334
Boletim Geográfico do Rio Grande do Sul	2446-7251
Biotika	2410-9290
Sovremennye Tehnologii Upravleniâ	2226-9339
Pacific Journal of Mathematics for Industry	2198-4115
The Nucleus	2306-6539
Civil Engineering Forum	2089-5631
Jurnal Pendidikan Islam	2355-4339
Warasan Wichai Mo Kho	0859-3957
Asia-Pacific Journal of Science and Technology	2539-6293
Asian Journal of Sustainability and Social Responsibility	2365-6417
Functional Linguistics	2196-419X
Revista Amazônia: Science & Health	2318-1419
Bandung: Journal of the Global South	2198-3534
Revista de Direitos e Garantias Fundamentais	2175-6058
Journal of Radiology and Imaging	2399-8172
Journal of Modern Human Pathology	2397-6845
Colloquium - New Philologies	2520-3355
Swiss medical forum = Schweizerisches Medizin-Forum	1424-3784
Administory	2519-1187
EspacesTemps.net	1777-5477
Integrative Medicine International	2296-7362
International Journal of Networked and Distributed Computing (IJNDC)	2211-7946
Journal of Risk Analysis and Crisis Response (JRACR)	2210-8491
Journal of Robotics, Networking and Artificial Life (JRNAL)	2352-6386
Journal of Statistical Theory and Applications (JSTA)	1538-7887
STIPM (STI Policy and Management) Journal	2540-9786
Bulletin Ekonomi Moneter dan Perbankan	1410-8046
Media Komunikasi Teknik Sipil	0854-1809
International Journal of Pedagogy and Teacher Education	2549-8525
Apskaitos ir finans? mokslas ir studijos: problemos ir perspektyvos	2351-5597
Meridional	0719-3734
Journal of Orthopaedics and Allied Sciences	2347-436X
Journal of Vascular Surgery Cases and Innovative Techniques	2468-4287
Nordisk Välfärdsforskning	2464-4161
Veterinary and Animal Science	2451-943X
Development Engineering	2352-7285
Bioactive Materials	2452-199X
Refleksi Hukum	2541-4984
Kelola: Jurnal Manajemen Pendidikan	2443-0544
Arthroplasty Today	2352-3441
Jurnal Ilmiah Pendidikan Matematika	2301-7929
Cogito Smart Journal	2541-2221
International Journal of Surgery Protocols	2468-3574
Harran Üniversitesi Mühendislik Dergisi	2528-8733
Türk Kültürü ve Hac? Bekta? Velî Ara?t?rma Dergisi	1306-8253
Walawalkar International Medical Journal	2349-2910
Falasifa: Jurnal Studi Keislaman	2085-3815
International Journal of Turbomachinery, Propulsion and Power	2504-186X
Epigenomes	2075-4655
Quantum Beam Science	2412-382X
Cryptography	2410-387X
Multimodal Technologies and Interaction	2414-4088
Life Span and Disability	2035-5963
Ecos do Minho	1646-4745
Perspectiva Geográfica	0123-3769
Applied Informatics	2196-0089
Journal of Open Innovation: Technology, Market and Complexity	2199-8531
Journal of Experimental Nanoscience	1745-8099
Statistics and Public Policy	2330-443X
European Journal of General Practice	1751-1402
CyTA - Journal of Food	1947-6345
Advances in Physics: X	2374-6149
Revista Águas Subterrâneas	0101-7004
Microbial Genomics	2057-5858
Societal Studies	2029-2236
Social Inquiry into Well-Being	2351-6682
Health Policy and Management	2029-3569
Public Policy and Administration	1648-2603
Korean Journal of Anesthesiology	2005-6419
Scripta Biologica	2355-3138
disClosure: A Journal of Social Theory	2332-9246
Design Science	2053-4701
Agricultural and Resource Economics Review	2372-2614
Drugs in R&D	1179-6901
Entramado	1900-3803
Multi-Science Journal	2359-6902
Prometeica	1852-9488
Juris	1413-3571
Clivajes: Revista de Ciencias Sociales	2395-9495
Revista de Empreendedorismo e Gestão de Pequenas Empresas	2316-2058
Jurnal TAM	2579-4221
Dialogue Méditerranéen	2571-9742
Maskay	1390-6712
Colloquium Vitae	1984-6436
Palapa: Jurnal Studi Keislaman dan Ilmu Pendidikan	2338-2325
Gema Teologika	2502-7743
Majalah Ilmiah Biologi Biosfera: A Scientific Journal	0853-1625
Jurnal Pertanian Agros	1411-0172
Eastern European Journal of Regional Studies	1857-436X
Anastasis: Research in Medieval Culture and Art	2392-862X
Pangeea	1841-1517
Malaysian Journal of Animal Science	1394-3227
Al?nteri Zirai Bilimleri Dergisi	2564-7814
Ikuf?ziyuluzh?-i Giy?h?n-i Zir???	2538-1822
Journal of Applied Linguistics	2008-8434
Revista de Derecho Público	0716-0267
Brazilian Journalism Research	1981-9854
The Journal for Undergraduate Ethnography	2369-8721
Revista SOCAMPAR	2529-9859
Educação Matemática em Revista	1517-3941
kultur	2386-5458
Journal of Lusophone Studies	2469-4800
Studia Historiae Scientiarum	2451-3202
Transactions on Environment and Electrical Engineering	2450-5730
Przedsi?biorczo?? Mi?dzynarodowa	2543-537X
Agritech	1411-1063
Forum Scientiae Oeconomia	2300-5947
Przegl?d Naukowy In?ynieria i Kszta?towanie ?rodowiska	1732-9353
Maszyny Górnicze	0209-3693
Ius et Scientia	2444-8478
Gizi Indonesia	0436-0265
Jurnal Pendidikan Karakter	2089-5003
Jurnal Sains & Teknologi Lingkungan	2085-1227
Revista Iberoamericana de Automática e Informática Industrial RIAI	1697-7912
Beyond Words	2460-6308
Leksema	2527-8088
Journal of Natural Gas Geoscience	2468-256X
Sustainable Environment Research	2468-2039
Russian Journal of Economics	2405-4739
Rice Science	1672-6308
International Journal of e-Navigation and Maritime Economy	2405-5352
Jurnal Kefarmasian Indonesia	2085-675X
Kompartemen: Jurnal Ilmiah Akuntansi	1693-1084
Jurnal Sains Sosial dan Humaniora	2549-9505
Revista Brasileira de Direito do Consumidor	2525-8524
Scientia et Ratio	2525-8532
Revista Brasileira de Ciências Policiais	2178-0013
Journal of Science and Research	2528-8083
Revista de Medicina da UFC	0100-1302
Revista Educação, Cultura e Sociedade	2237-1648
Bol?, Sustavy, Pozvono?nik	2224-1507
Temporalidades	1984-6150
Memoria Europae	1853-5259
Naukovì Zapiski Ternopìl?s?kogo Nacìonal?nogo Pedagogì?nogo Unìversitetu Imenì Volodimira Gnatûka. Serìâ: Pedagogìka	2311-6382
Revista Brasileira de Estudos Urbanos e Regionais	1517-4115
Aleph	2437-0274
Psycho Idea	1693-1076
Jurnal Informatika	2086-9398
Open Geospatial Data, Software and Standards	2363-7501
Zolotoordynskoe Obozrenie	2308-152X
Fishes	2410-3888
Urban Science	2413-8851
Genealogy	2313-5778
Infrastructures	2412-3811
Languages	2226-471X
Humanidades Médicas	1727-8120
Journal of the European Optical Society-Rapid Publications	1990-2573
Applied Network Science	2364-8228
Journal of Shipping and Trade	2364-4575
Journal of the Practice of Cardiovascular Sciences	2454-2830
Journal of Indian Orthodontic Society	0974-9098
Journal of Family Medicine and Primary Care	2278-7135
Journal of Language and Education	2411-7390
Revista Geonorte	2237-1419
Mikarimin	2528-7842
Digital Medicine	2226-8561
European Journal of Islamic Finance	2421-2172
Eikonocity	2499-1422
Política y Sociedad	1130-8001
IPSJ Transactions on Computer Vision and Applications	1882-6695
GMS Infectious Diseases	2195-8831
Intergenerational Justice Review	2190-6335
Renewables: Wind, Water, and Solar	2198-994X
Arcadia: Explorations in Environmental History	2199-3408
Cell Structure and Function	1347-3700
Journal of Pacific Rim Psychology	1834-4909
Designed Monomers and Polymers	1568-5551
Acta Oto-Laryngologica Case Reports	2377-2484
Regulatory Mechanisms in Biosystems	2519-8521
Environmental Economics	1998-6041
Revista Economic?	1582-6260
Kufa Review	2309-5997
Journal of Shahid Sadoughi University of Medical Sciences	2228-5733
Molecular Biology Research Communications	2345-2005
Journal of Dentistry	2008-0905
Revue Francophone de Recherche en Ergothérapie	2297-0533
Da investigação às práticas	2182-1372
Tercio Creciente	2340-9096
SOBRE. Prácticas artísticas y políticas de la edición	2387-1733
Indian Journal of Psychiatry	1998-3794
OADI - Rivista dell'Osservatorio per le Arti Decorative in Italia	2038-4394
Ciceroniana On Line	2532-5353
Journal of Open Source Software	2475-9066
Dearquitectura	2011-3188
Investigative and Clinical Urology	2466-0493
Asian Journal of University Education	1823-7797
Benefit Jurnal Manajemen dan Bisnis	1410-4571
Horticultural Plant Journal	2095-9885
Jurnal Teknologi dan Manajemen Informatika	1693-6604
Japanese Dental Science Review	1882-7616
Journal of Islamic and Religious Studies	2519-7118
Japanese Dental Science Review	1882-7616
Resource-Efficient Technologies	2405-6537
Journal of Science: Advanced Materials and Devices	2468-2284
International Journal of Transportation Science and Technology	2046-0430
Journal of Oncological Sciences	2452-3364
Nadwa	1979-1739
Underground Space	2096-2754
Journal of Arrhythmia	1880-4276
Nuclear Energy and Technology	2452-3038
American Journal of Case Reports	1941-5923
Gadjah Mada International Journal of Business	1411-1128
Jurnal Pendidikan Fisika	2252-732X
Studii si Cercetari Filolgice: Seria Limbi Romanice	1843-3979
Annals of Academy of Romanian Scientists Series on Philosophy, Psychology, Theology and Journalism	2067-113X
Journal of Language and Linguistic Studies	1305-578X
Jurnal Jurisprudence	1829-5045
Jurnal Kesehatan	1979-7621
Jurnal Manajemen Dayasaing	1411-3422
Jurnal Antropologi: Isu-Isu Sosial Budaya	1410-8356
Études Lawrenciennes	0994-5490
Psihosomati?na Medicina ta Zagal?na Praktika	2519-8572
JP (Jurnal Pendidikan)	2527-6891
Media Konservasi	0215-1677
Jurnal Teknik Sipil	0853-2982
Arbitrer	2339-1162
Journal of Sustainable Mining	2300-3960
Journal of Ocean Engineering and Science	2468-0133
Teknika	2549-8037
Langkau Betang: Jurnal Arsitektur	2355-2484
Nordic Wittgenstein Review	2194-6825
Tafáqquh: Jurnal Penelitian dan Kajian Keislaman	2338-3186
Jurnal Mudarrisuna: Media Kajian Pendidikan Agama Islam	2089-5127
Arabi: Journal of Arabic Studies	2548-6616
Jurnal Pena Indonesia	2477-5150
Phenomenology and Mind	2280-7853
Vestnik Rossijskogo Universiteta Družby Narodov. Seriâ: Informatizaciâ Obrazovaniâ	2312-8631
Služba Božja	0037-7074
Teme	0353-7919
Starinar	0350-0241
EDUCATIO: Journal of Education	2579-8405
Lekovite Sirovine	0455-6224
Agricultural Science and Technology	1313-8820
Al-Qadisiya Journal Science of Physical Education	2313-3635
Riwayah: Jurnal Studi Hadis	2460-755X
JPPM (Jurnal Penelitian dan Pembelajaran Matematika)	1979-3545
Mathunesa: Jurnal Ilmiah Matematika	2301-9115
Media Ilmu Kesehatan	2252-3413
Akrual: Jurnal Akuntansi	2085-9643
Esoterik: Jurnal Akhlak dan Tasawuf	2460-7576
Contemporary Clinical Trials Communications	2451-8654
Jurnal Pendidikan Islam Indonesia	2527-3566
Retorika: Jurnal Ilmu Bahasa	2406-9019
Jurnal Hubungan Internasional	1829-5088
Sainsmat	2086-6755
Investment Management and Financial Innovations	1810-4967
Problems and Perspectives in Management	1727-7051
Studia Humanitatis	2308-8079
Banks and Bank Systems	1816-7403
Economics and Business	1407-7337
Jurnal Penelitian Sosial dan Ekonomi Kehutanan	1979-6013
Jurnal Pariwisata	2355-6587
Jurnal Analisis Kebijakan Kehutanan	0216-0897
Padjadjaran: Jurnal Ilmu Hukum	2460-1543
Jurnal Peternakan Indonesia	1907-1760
eNeurologicalSci	2405-6502
Jurnal Penelitian dan Pengembangan Pendidikan Luar Biasa	2355-746X
Jurnal Teknologi	2085-1669
Dirosat: Journal of Islamic Studies	2541-1667
Problemi Bezperervnoï Geografì?noï Osvìti ì Kartografìï	2075-1893
Pl.it	2384-9266
Arquivos de Ciências do Esporte	2317-7136
U?ënye Zapiski Kazanskogo Universiteta: Seriâ Fiziko-Matemati?eskie Nauki	2541-7746
International Journal of Foreign Language Teaching and Research	2322-3898
Iraqi Journal for Mechanical and Materials Engineering	2313-3783
Journal of Environmental Health and Sustainable Development	2476-7433
Egyptian Journal of Genetics and Cytology	0046-161X
Esferas	2446-6190
Revista de la Academia	0717-1846
Teorìâ ta Metodika Fìzi?nogo Vihovannâ	1993-7989
Ìnformacìjnì Tehnologìï v Osvìtì	1998-6939
Berkala Kedokteran	1412-0550
JUTI: Jurnal Ilmiah Teknologi Informasi	1412-6389
Oral and Maxillofacial Surgery Cases	2214-5419
International Journal of Clinical Legal Education	1467-1069
Indonesian Journal of Combinatorics	2541-2205
JEPIN (Jurnal Edukasi dan Penelitian Informatika)	2460-0741
Bulletin of the International Association for Paleodontology	1846-6273
JRST: Jurnal Riset Sains dan Teknologi	2549-9750
Revista Geoamazônia	1980-7759
Wellcome Open Research	2398-502X
Video Journal of Education and Pedagogy	2364-4583
Journal of Montessori Research	2378-3923
Revista Galega de Filoloxía	1576-2661
Scientia Marina	0214-8358
Journal of Tourism Futures	2055-5911
Open Agriculture	2391-9531
Jurnal Penelitian Pendidikan	2580-4154
Physics Communication	2528-5971
Positron	2301-4970
Forum Ilmu Sosial	1412-971X
Journal of Physical Education Health and Sport	2354-7901
Jurnal Geografi	2549-3078
Jurnal Komputer Terapan	2443-4159
International Conference on Economics, Education, Business, and Accounting	2549-3191
AtTabsyir: Jurnal Komunikasi Penyiaran Islam	2477-2046
Jurnal Teknologi Informasi dan Komunikasi	2087-0868
Jurnal Informatika	2355-6579
Ekuitas: Jurnal Ekonomi dan Keuangan	2548-298X
Jurnal Hama dan Penyakit Tumbuhan Tropika	1411-7525
Jurnal Pengabdian Masyarakat MIPA dan Pendidikan MIPA	2549-4899
Persona Studies	2205-5258
Ilmu Kelautan	0853-7291
Izzivi Prihodnosti	2463-9281
Pain and Therapy	2193-651X
Ophthalmology and Therapy	2193-6528
TIPA. Travaux interdisciplinaires sur la parole et le langage	2264-7082
Patrimônio e Memória	1808-1967
Journal of Renal and Hepatic Disorders	2207-3744
Aksara	2206-0596
Anales de la Cátedra Francisco Suárez	0008-7750
Jurnal Riset Akuntansi dan Bisnis Airlangga	2548-1401
Briliant	2541-4216
Sari Pediatri	0854-7823
JSFK (Jurnal Sains Farmasi dan Klinis)	2407-7062
Biopropal Industri	2089-0877
Edukasia: Jurnal Penelitian Pendidikan Islam	1907-7254
Jurnal Wacana Politik	2502-9185
Lensa: Kajian Kebahasaan, Kesusastraan, dan Budaya	2086-6100
Agrointek	1907-8056
Reviews in Physics	2405-4283
Revista de Gastroenterología de México (English Edition)	2255-534X
Revista de Gastroenterología de México	0375-0906
Revista Colombiana de Cardiología	0120-5633
International Journal of Education	1978-1342
Scandinavian Journal of Public Administration	2001-7405
