Title20;ISO_ABBREV;TITLE;ISSN
EUR CELLS MATER;Eur. Cells Mater.;EUROPEAN CELLS & MATERIALS;1473-2262
EUR CYTOKINE NETW;Eur. Cytokine Netw.;EUROPEAN CYTOKINE NETWORK;1148-5493
EUR J CLIN PHARMACOL;Eur. J. Clin. Pharmacol.;EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY;0031-6970
EUR J CONTRACEP REPR;Eur. J. Contracept. Reprod. Health Care;EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE;1362-5187
EUR J EMERG MED;Eur. J. Emerg. Med.;European Journal of Emergency Medicine;0969-9546
JPN J OPHTHALMOL;Jpn. J. Ophthalmol.;JAPANESE JOURNAL OF OPHTHALMOLOGY;0021-5155
KAGAKU KOGAKU RONBUN;Kag. Kog. Ronbunshu;KAGAKU KOGAKU RONBUNSHU;0386-216X
KIDNEY BLOOD PRESS R;Kidney Blood Pressure Res.;KIDNEY & BLOOD PRESSURE RESEARCH;1420-4096
KOREA-AUST RHEOL J;Korea-Aust. Rheol. J.;KOREA-AUSTRALIA RHEOLOGY JOURNAL;1226-119X
CELL DIV;Cell Div.;Cell Division;1747-1028
CELL HOST MICROBE;Cell Host Microbe;Cell Host & Microbe;1931-3128
CELL MICROBIOL;Cell Microbiol.;CELLULAR MICROBIOLOGY;1462-5814
CELL MOL BIOENG;Cell. Mol. Bioeng.;Cellular and Molecular Bioengineering;1865-5025
CELL MOL BIOL;Cell. Mol. Biol.;CELLULAR AND MOLECULAR BIOLOGY;0145-5680
CELL MOL BIOL;Cell. Mol. Biol.;CELLULAR AND MOLECULAR BIOLOGY;0145-5680
CELL MOL BIOL LETT;Cell. Mol. Biol. Lett.;CELLULAR & MOLECULAR BIOLOGY LETTERS;1425-8153
CELL MOL LIFE SCI;Cell. Mol. Life Sci.;CELLULAR AND MOLECULAR LIFE SCIENCES;1420-682X
CELL REP;Cell Reports;Cell Reports;2211-1247
CELL SIGNAL;Cell. Signal.;CELLULAR SIGNALLING;0898-6568
CELL SYST;Cell Syst.;Cell Systems;2405-4712
CELL SYST;Cell Syst.;Cell Systems;2405-4712
CELL TISSUE BANK;Cell Tissue Banking;CELL AND TISSUE BANKING;1389-9333
CEM WAPNO BETON;Cem. Wapno Beton;Cement Wapno Beton;1425-8129
CEREAL FOOD WORLD;Cereal Foods World;CEREAL FOODS WORLD;0146-6283
CEREAL RES COMMUN;Cereal Res. Commun.;CEREAL RESEARCH COMMUNICATIONS;0133-3720
CHAOS;Chaos;CHAOS;1054-1500
CHAOS SOLITON FRACT;Chaos Solitons Fractals;CHAOS SOLITONS & FRACTALS;0960-0779
CHEM BIOL;Chem. Biol.;CHEMISTRY & BIOLOGY;1074-5521
CHEM BIOL DRUG DES;Chem. Biol. Drug Des.;Chemical Biology & Drug Design;1747-0277
CHEM ECOL;Chem. Ecol.;CHEMISTRY AND ECOLOGY;0275-7540
CHEM ENG J;Chem. Eng. J.;CHEMICAL ENGINEERING JOURNAL;1385-8947
CHEM ENG SCI;Chem. Eng. Sci.;CHEMICAL ENGINEERING SCIENCE;0009-2509
REV INT CONTAM AMBIE;Rev. Int. Contam. Ambient.;Revista Internacional de Contaminacion Ambiental;0188-4999
REV MAT IBEROAM;Rev. Mat. Iberoam.;REVISTA MATEMATICA IBEROAMERICANA;0213-2230
REV MED CHILE;Rev. Medica Chile;REVISTA MEDICA DE CHILE;0034-9887
REV MEX CIENC GEOL;Rev. Mex. Cienc. Geol.;REVISTA MEXICANA DE CIENCIAS GEOLOGICAS;1026-8774
REV MINERAL GEOCHEM;Rev. Mineral. Geochem.;Reviews in Mineralogy & Geochemistry;1529-6466
REV PALAEOBOT PALYNO;Rev. Palaeobot. Palynology;REVIEW OF PALAEOBOTANY AND PALYNOLOGY;0034-6667
REV PHYSIOL BIOCH P;Rev. Physiol. Biochem. Pharmacol.;Reviews of Physiology Biochemistry and Pharmacology;0303-4240
RHEUM DIS CLIN N AM;Rheum. Dis. Clin. North Am.;RHEUMATIC DISEASE CLINICS OF NORTH AMERICA;0889-857X
RICE;Rice;Rice;1939-8425
ROBOT AUTON SYST;Robot. Auton. Syst.;ROBOTICS AND AUTONOMOUS SYSTEMS;0921-8890
RSC ADV;RSC Adv.;RSC Advances;2046-2069
RUSS J ECOL+;Russ. J. Ecol.;RUSSIAN JOURNAL OF ECOLOGY;1067-4136
MECH ENG;Mech. Eng.;MECHANICAL ENGINEERING;0025-6501
MECH RES COMMUN;Mech. Res. Commun.;MECHANICS RESEARCH COMMUNICATIONS;0093-6413
EAT DISORD;Eat. Disord;Eating Disorders;1064-0266
ECO MONT;Eco Mont;Eco mont-Journal on Protected Mountain Areas Research;2073-106X
ECOHYDROL HYDROBIOL;Ecohydrol. Hydrobiol.;ECOHYDROLOGY & HYDROBIOLOGY;1642-3593
ECOL APPL;Ecol. Appl.;ECOLOGICAL APPLICATIONS;1051-0761
ECOL ENG;Ecol. Eng.;ECOLOGICAL ENGINEERING;0925-8574
ECOL INDIC;Ecol. Indic.;ECOLOGICAL INDICATORS;1470-160X
ECOL MONOGR;Ecol. Monogr.;ECOLOGICAL MONOGRAPHS;0012-9615
INT J APPL GLASS SCI;Int. J. Appl. Glass Sci.;International Journal of Applied Glass Science;2041-1286
INT J ARTIF ORGANS;Int. J. Artif. Organs;INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS;0391-3988
INT J BIFURCAT CHAOS;Int. J. Bifurcation Chaos;INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS;0218-1274
INT J BIOCHEM CELL B;Int. J. Biochem. Cell Biol.;INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY;1357-2725
INT J BIOL SCI;Int. J. Biol. Sci.;International Journal of Biological Sciences;1449-2288
INT J BIOMETEOROL;Int. J. Biometeorol.;INTERNATIONAL JOURNAL OF BIOMETEOROLOGY;0020-7128
MED BIOL ENG COMPUT;Med. Biol. Eng. Comput.;MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING;0140-0118
MED DOSIM;Med. Dosim.;Medical Dosimetry;0958-3947
MED SCI SPORT EXER;Med. Sci. Sports Exerc.;MEDICINE AND SCIENCE IN SPORTS AND EXERCISE;0195-9131
MED VET ENTOMOL;Med. Vet. Entomol.;MEDICAL AND VETERINARY ENTOMOLOGY;0269-283X
MED VET ENTOMOL;Med. Vet. Entomol.;MEDICAL AND VETERINARY ENTOMOLOGY;0269-283X
MEDCHEMCOMM;MedChemComm;MedChemComm;2040-2503
MEDITERR J MATH;Mediterr. J. Math.;Mediterranean Journal of Mathematics;1660-5446
MELANOMA RES;Melanoma Res.;MELANOMA RESEARCH;0960-8931
MENDELEEV COMMUN;Mendeleev Commun.;MENDELEEV COMMUNICATIONS;0959-9436
MICROBES INFECT;Microbes Infect.;MICROBES AND INFECTION;1286-4579
MICROBES INFECT;Microbes Infect.;MICROBES AND INFECTION;1286-4579
MICROBIOLOGY+;Microbiology;MICROBIOLOGY;0026-2617
MICROCHIM ACTA;Microchim. Acta;MICROCHIMICA ACTA;0026-3672
MICROELECTRON ENG;Microelectron. Eng.;MICROELECTRONIC ENGINEERING;0167-9317
RUSS J GENET+;Russ. J. Genet.;RUSSIAN JOURNAL OF GENETICS;1022-7954
RUSS J PHYS CHEM A+;Russ. J. Phys. Chem. A;Russian Journal of Physical Chemistry A;0036-0244
INT J COMPUT MATH;Int. J. Comput. Math.;INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS;0020-7160
INT J CONCR STRUCT M;Int. J. Concr. Struct. Mater.;International Journal of Concrete Structures and Materials;1976-0485
INT J CRASHWORTHINES;Int. J. Crashworthiness;INTERNATIONAL JOURNAL OF CRASHWORTHINESS;1358-8265
INT J CRIT INFR PROT;Int. J. Crit. Infrastruct. Prot.;International Journal of Critical Infrastructure Protection;1874-5482
INT J DEV NEUROSCI;Int. J. Dev. Neurosci.;INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE;0736-5748
INT J DISAST RISK SC;Int. J. Disaster Risk Sci.;International Journal of Disaster Risk Science;2095-0055
INT J DISTRIB SENS N;Int. J. Distrib. Sens. Netw.;International Journal of Distributed Sensor Networks;1550-1477
INT J DISTRIB SENS N;Int. J. Distrib. Sens. Netw.;International Journal of Distributed Sensor Networks;1550-1477
INT J EARTH SCI;Int. J. Earth Sci.;INTERNATIONAL JOURNAL OF EARTH SCIENCES;1437-3254
INT J ENERG RES;Int. J. Energy Res.;INTERNATIONAL JOURNAL OF ENERGY RESEARCH;0363-907X
J MOL CELL CARDIOL;J. Mol. Cell. Cardiol.;JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY;0022-2828
J MOL DIAGN;J. Mol. Diagn.;JOURNAL OF MOLECULAR DIAGNOSTICS;1525-1578
J MOL GRAPH MODEL;J. Mol. Graph.;JOURNAL OF MOLECULAR GRAPHICS & MODELLING;1093-3263
J MOL MODEL;J. Mol. Model.;JOURNAL OF MOLECULAR MODELING;1610-2940
J MT SCI-ENGL;J Mt. Sci.;Journal of Mountain Science;1672-6316
J MULT-VALUED LOG S;J. Mult.-Valued Log. Soft Comput.;JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING;1542-3980
J NANO RES-SW;J. Nano Res.;Journal of Nano Research;1662-5250
J NANOBIOTECHNOL;J. Nanobiotechnol.;JOURNAL OF NANOBIOTECHNOLOGY;1477-3155
J NANOSCI NANOTECHNO;J. Nanosci. Nanotechnol.;JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY;1533-4880
S AFR J BOT;S. Afr. J. Bot.;SOUTH AFRICAN JOURNAL OF BOTANY;0254-6299
SAFETY SCI;Saf. Sci.;SAFETY SCIENCE;0925-7535
SALAMANDRA;Salamandra;SALAMANDRA;0036-3375
SAR QSAR ENVIRON RES;SAR QSAR Environ. Res.;SAR AND QSAR IN ENVIRONMENTAL RESEARCH;1062-936X
SCAND J FOREST RES;Scand. J. Forest Res.;SCANDINAVIAN JOURNAL OF FOREST RESEARCH;0282-7581
SCAND J GASTROENTERO;Scand. J. Gastroenterol.;SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY;0036-5521
SCAND J IMMUNOL;Scand. J. Immunol.;SCANDINAVIAN JOURNAL OF IMMUNOLOGY;0300-9475
SCAND J OCCUP THER;Scand. J. Occup. Ther.;Scandinavian Journal of Occupational Therapy;1103-8128
SCAND J STAT;Scand. J. Stat.;SCANDINAVIAN JOURNAL OF STATISTICS;0303-6898
SCAND J UROL;Scand. J. Urol.;Scandinavian Journal of Urology;2168-1805
SCHMERZ;Schmerz;SCHMERZ;0932-433X
SCI ADV MATER;Sci. Adv. Mater.;Science of Advanced Materials;1947-2935
SCI EDUC-NETHERLANDS;Sci. Educ.;Science & Education;0926-7220
SCI SIGNAL;Sci. Signal.;Science Signaling;1945-0877
SCI SINTER;Sci. Sinter.;SCIENCE OF SINTERING;0350-820X
SCI SINTER;Sci. Sinter.;SCIENCE OF SINTERING;0350-820X
SCI TECHNOL ADV MAT;Sci. Technol. Adv. Mater.;SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS;1468-6996
SCIENTIST;Scientist;SCIENTIST;0890-3670
SCOT MED J;Scott. Med. J.;SCOTTISH MEDICAL JOURNAL;0036-9330
MICROELECTRON INT;Microelectron. Int.;MICROELECTRONICS INTERNATIONAL;1356-5362
MICROELECTRON RELIAB;Microelectron. Reliab.;MICROELECTRONICS RELIABILITY;0026-2714
MICROGRAVITY SCI TEC;Microgravity Sci. Technol.;MICROGRAVITY SCIENCE AND TECHNOLOGY;0938-0108
J NEURO-OPHTHALMOL;J. Neuro-Ophthal.;JOURNAL OF NEURO-OPHTHALMOLOGY;1070-8022
J NEUROGENET;J. Neurogenet.;JOURNAL OF NEUROGENETICS;0167-7063
J NEUROGENET;J. Neurogenet.;JOURNAL OF NEUROGENETICS;0167-7063
J NEUROIMAGING;J. Neuroimaging;JOURNAL OF NEUROIMAGING;1051-2284
J NEUROINTERV SURG;J. NeuroInterventional Surg.;Journal of NeuroInterventional Surgery;1759-8478
J NEUROINTERV SURG;J. NeuroInterventional Surg.;Journal of NeuroInterventional Surgery;1759-8478
J NEUROL PHYS THER;J. Neurol. Phys. Ther.;Journal of Neurologic Physical Therapy;1557-0576
J NEUROL SURG PART B;Journal of Neurol. Surg. Part B;Journal of Neurological Surgery Part B-Skull Base;2193-6331
J NEUROPSYCH CLIN N;J. Neuropsychiatr. Clin. Neurosci.;JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES;0895-0172
J NEUROSCI RES;J. Neurosci. Res.;JOURNAL OF NEUROSCIENCE RESEARCH;0360-4012
J NEUROSURG-PEDIATR;J. Neurosurg.-Pediatr.;Journal of Neurosurgery-Pediatrics;1933-0707
J NEUROTRAUM;J. Neurotrauma;JOURNAL OF NEUROTRAUMA;0897-7151
ARCH AGRON SOIL SCI;Arch. Agron. Soil Sci.;Archives of Agronomy and Soil Science;0365-0340
ARCH BRONCONEUMOL;Arch. Bronconeumol.;ARCHIVOS DE BRONCONEUMOLOGIA;0300-2896
ARCH COMPUT METHOD E;Arch. Comput. Method Eng.;ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING;1134-3060
ARCH CONTROL SCI;Arch. Control Sci.;Archives of Control Sciences;2300-2611
ARCH INSECT BIOCHEM;Arch. Insect Biochem. Physiol.;ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY;0739-4462
ARCH IRAN MED;Arch. Iran. Med.;Archives of Iranian Medicine;1029-2977
ARCH MED VET;Arch. Med. Vet.;ARCHIVOS DE MEDICINA VETERINARIA;0301-732X
ARCH MIN SCI;Arch. Min. Sci.;Archives of Mining Sciences;0860-7001
ARCH PEDIATRIE;Arch. Pediatr.;ARCHIVES DE PEDIATRIE;0929-693X
ARCHEOSCIENCES-REV A;ArcheoSciences-Rev. Archeom.;ArcheoSciences-Revue d Archeometrie;1960-1360
MICROSC MICROANAL;Microsc. microanal.;MICROSCOPY AND MICROANALYSIS;1431-9276
MICROSC MICROANAL;Microsc. microanal.;MICROSCOPY AND MICROANALYSIS;1431-9276
MIN PROC EXT MET REV;Miner. Process Extr. Metall. Rev.;Mineral Processing and Extractive Metallurgy Review;0882-7508
MINER ENG;Miner. Eng.;MINERALS ENGINEERING;0892-6875
MINERVA CHIR;Minerva Chir.;MINERVA CHIRURGICA;0026-4733
MINIM INVASIV THER;Minim. Invasive Ther. Allied Technol.;MINIMALLY INVASIVE THERAPY & ALLIED TECHNOLOGIES;1364-5706
MIS QUART;MIS Q.;MIS QUARTERLY;0276-7783
MITOCHONDRIAL DNA A;Mitochondrial DNA Part A;Mitochondrial DNA Part A;2470-1394
MITOCHONDRION;Mitochondrion;MITOCHONDRION;1567-7249
MOBILE NETW APPL;Mobile Netw. Appl.;MOBILE NETWORKS & APPLICATIONS;1383-469X
MOD RHEUMATOL;Mod. Rheumatol.;Modern Rheumatology;1439-7595
MODEL IDENT CONTROL;Model. Identif. Control;MODELING IDENTIFICATION AND CONTROL;0332-7353
MOL BIOL EVOL;Mol. Biol. Evol.;MOLECULAR BIOLOGY AND EVOLUTION;0737-4038
MOL CANCER;Mol. Cancer;Molecular Cancer;1476-4598
MOL CANCER THER;Mol. Cancer Ther.;MOLECULAR CANCER THERAPEUTICS;1535-7163
MOL ECOL;Mol. Ecol.;MOLECULAR ECOLOGY;0962-1083
MOL ECOL RESOUR;Mol. Ecol. Resour.;Molecular Ecology Resources;1755-098X
MOL GENET MICROBIOL+;Mol. Genet. Microbiol. Virol.;Molecular Genetics Microbiology and Virology;0891-4168
MOL HUM REPROD;Mol. Hum. Reprod.;MOLECULAR HUMAN REPRODUCTION;1360-9947
SECUR COMMUN NETW;Secur. Commun. Netw.;Security and Communication Networks;1939-0114
SEDIMENTOLOGY;Sedimentology;SEDIMENTOLOGY;0037-0746
SEED SCI TECHNOL;Seed Sci. Technol.;SEED SCIENCE AND TECHNOLOGY;0251-0952
SEED SCI TECHNOL;Seed Sci. Technol.;SEED SCIENCE AND TECHNOLOGY;0251-0952
ARH HIG RADA TOKSIKO;Arh. Hig. Rada. Toksikol.;Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology;0004-1254
ARKIVOC;Arkivoc;ARKIVOC;1551-7004
ARTHROPOD STRUCT DEV;Arthropod Struct. Dev.;ARTHROPOD STRUCTURE & DEVELOPMENT;1467-8039
ARTIF ORGANS;Artif. Organs;ARTIFICIAL ORGANS;0160-564X
P ROMANIAN ACAD A;Proc. Rom. Acad. Ser. A-Math. Phys.;Proceedings of the Romanian Academy Series A-Mathematics Physics Technical Sciences Information Science;1454-9069
P ROY SOC EDINB A;Proc. R. Soc. Edinb. Sect. A-Math.;PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS;0308-2105
P ROY SOC EDINB A;Proc. R. Soc. Edinb. Sect. A-Math.;PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS;0308-2105
P STEKLOV I MATH+;Proc. Steklov Inst. Math.;Proceedings of the Steklov Institute of Mathematics;0081-5438
PACE;PACE-Pacing Clin. Electrophysiol.;PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY;0147-8389
PACKAG TECHNOL SCI;Packag. Technol. Sci.;PACKAGING TECHNOLOGY AND SCIENCE;0894-3214
PAEDIATR INT CHILD H;Paediatr. Int. Child Health;Paediatrics and International Child Health;2046-9047
PAK J PHARM SCI;Pak. J. Pharm. Sci.;Pakistan Journal of Pharmaceutical Sciences;1011-601X
PALEONTOL J+;Paleontol. J.;PALEONTOLOGICAL JOURNAL;0031-0301
PANCREAS;Pancreas;PANCREAS;0885-3177
PARASITE;Parasite;Parasite;1252-607X
PARASITOL INT;Parasitol. Int.;PARASITOLOGY INTERNATIONAL;1383-5769
PARKINSONS DIS-US;Parkinsons Dis.;Parkinsons Disease;2090-8083
PART PART SYST CHAR;Part. Part. Syst. Charact.;PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION;0934-0866
PARTICUOLOGY;Particuology;Particuology;1674-2001
SEMIN DIAGN PATHOL;Semin. Diagn. Pathol.;SEMINARS IN DIAGNOSTIC PATHOLOGY;0740-2570
SEMIN NUCL MED;Semin. Nucl. Med.;SEMINARS IN NUCLEAR MEDICINE;0001-2998
SEMIN SPEECH LANG;Semin. Speech Lang.;SEMINARS IN SPEECH AND LANGUAGE;0734-0478
SEMIN THROMB HEMOST;Semin. Thromb. Hemost.;SEMINARS IN THROMBOSIS AND HEMOSTASIS;0094-6176
SENSORS-BASEL;Sensors;SENSORS;1424-8220
SEX MED-UK;Sex. Med.;Sexual Medicine;2050-1161
SIAM J COMPUT;SIAM J. Comput.;SIAM JOURNAL ON COMPUTING;0097-5397
SIAM J CONTROL OPTIM;SIAM J. Control Optim.;SIAM JOURNAL ON CONTROL AND OPTIMIZATION;0363-0129
SIAM J CONTROL OPTIM;SIAM J. Control Optim.;SIAM JOURNAL ON CONTROL AND OPTIMIZATION;0363-0129
SIAM J MATH ANAL;SIAM J. Math. Anal.;SIAM JOURNAL ON MATHEMATICAL ANALYSIS;0036-1410
SILICON-NETH;Silicon;Silicon;1876-990X
SIMUL MODEL PRACT TH;Simul. Model. Pract. Theory;SIMULATION MODELLING PRACTICE AND THEORY;1569-190X
SINGAP MED J;Singap. Med. J.;SINGAPORE MEDICAL JOURNAL;0037-5675
SLAS DISCOV;SLAS Discov.;SLAS Discovery;2472-5552
SLEEP MED REV;Sleep Med. Rev.;SLEEP MEDICINE REVIEWS;1087-0792
SMALL;Small;Small;1613-6810
SMALL;Small;Small;1613-6810
MOL IMMUNOL;Mol. Immunol.;MOLECULAR IMMUNOLOGY;0161-5890
MOL IMMUNOL;Mol. Immunol.;MOLECULAR IMMUNOLOGY;0161-5890
MOL INFORM;Mol. Inf.;Molecular Informatics;1868-1743
MOL INFORM;Mol. Inf.;Molecular Informatics;1868-1743
MOL MEMBR BIOL;Mol. Membr. Biol.;MOLECULAR MEMBRANE BIOLOGY;0968-7688
MOL MEMBR BIOL;Mol. Membr. Biol.;MOLECULAR MEMBRANE BIOLOGY;0968-7688
MOL ORAL MICROBIOL;Mol. Oral Microbiol.;Molecular Oral Microbiology;2041-1006
PATHOG DIS;Pathog. Dis.;Pathogens and Disease;2049-632X
PATHOL INT;Pathol. Int.;PATHOLOGY INTERNATIONAL;1320-5463
PCI J;PCI J.;PCI JOURNAL;0887-9672
PEDIAT ALLER IMM PUL;Pediatr. Allergy Immunol. Pulmonol.;Pediatric Allergy Immunology and Pulmonology;2151-321X
PEDIATR NEUROSURG;Pediatr. Neurosurg.;PEDIATRIC NEUROSURGERY;1016-2291
PEDIATR NEUROSURG;Pediatr. Neurosurg.;PEDIATRIC NEUROSURGERY;1016-2291
PEDIATR PHYS THER;Pediatr. Phys. Ther.;Pediatric Physical Therapy;0898-5669
PEDIATR RHEUMATOL;Pediatr. Rheumatol.;Pediatric Rheumatology;1546-0096
PEDIATR TRANSPLANT;Pediatr. Transplant.;PEDIATRIC TRANSPLANTATION;1397-3142
PEDIATR TRANSPLANT;Pediatr. Transplant.;PEDIATRIC TRANSPLANTATION;1397-3142
PEDOBIOLOGIA;Pedobiologia;PEDOBIOLOGIA;0031-4056
PEER PEER NETW APPL;Peer Peer Netw. Appl.;Peer-to-Peer Networking and Applications;1936-6442
TURK J FIELD CROPS;Turk. J. Field Crops;Turkish Journal of Field Crops;1301-1111
TURK J MATH;Turk. J. Math.;Turkish Journal of Mathematics;1300-0098
ULTRASONIC IMAGING;Ultrason. Imaging;ULTRASONIC IMAGING;0161-7346
ULTRASOUND Q;Ultrasound Q.;Ultrasound Quarterly;0894-8771
ULTRASTRUCT PATHOL;Ultrastruct. Pathol.;ULTRASTRUCTURAL PATHOLOGY;0191-3123
ULUS TRAVMA ACIL CER;Ulus. Travma Acil Cerrahi Derg.;Ulusal Travma ve Acil Cerrahi Dergisi-Turkish Journal of Trauma & Emergency Surgery;1306-696X
UNFALLCHIRURG;Unfallchirurg;UNFALLCHIRURG;0177-5537
UNIVERSAL ACCESS INF;Univers. Access Inf. Soc.;Universal Access in the Information Society;1615-5289
UPSALA J MED SCI;Ups. J. Med. Sci.;UPSALA JOURNAL OF MEDICAL SCIENCES;0300-9734
UROL CLIN N AM;Urol. Clin. N. Am.;UROLOGIC CLINICS OF NORTH AMERICA;0094-0143
UROLITHIASIS;Urolithiasis;Urolithiasis;2194-7228
URSUS;Ursus;URSUS;1537-6176
MOL PHARMACEUT;Mol. Pharm.;MOLECULAR PHARMACEUTICS;1543-8384
MOL PHARMACEUT;Mol. Pharm.;MOLECULAR PHARMACEUTICS;1543-8384
MOL PHYLOGENET EVOL;Mol. Phylogenet. Evol.;MOLECULAR PHYLOGENETICS AND EVOLUTION;1055-7903
MOL PLANT MICROBE IN;Mol. Plant-Microbe Interact.;MOLECULAR PLANT-MICROBE INTERACTIONS;0894-0282
MOL PSYCHIATR;Mol. Psychiatr.;MOLECULAR PSYCHIATRY;1359-4184
MOL THER;Mol. Ther.;MOLECULAR THERAPY;1525-0016
MRS BULL;MRS Bull.;MRS BULLETIN;0883-7694
MRS COMMUN;MRS Commun.;MRS Communications;2159-6859
MSYSTEMS;mSystems;mSystems;2379-5077
MT RES DEV;Mt. Res. Dev.;MOUNTAIN RESEARCH AND DEVELOPMENT;0276-4741
MULT SCLER J;Mult. Scler. J.;Multiple Sclerosis Journal;1352-4585
MULT SCLER RELAT DIS;Mult. Scler. Relat. Disord.;Multiple Sclerosis and Related Disorders;2211-0348
MULTIMED TOOLS APPL;Multimed. Tools Appl.;MULTIMEDIA TOOLS AND APPLICATIONS;1380-7501
MUTAGENESIS;Mutagenesis;MUTAGENESIS;0267-8357
MUTAT RES-GEN TOX EN;Mutat. Res. Genet. Toxicol. Environ. Mutagen.;MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS;1383-5718
MYCOTOXIN RES;Mycotoxin Res.;Mycotoxin Research;0178-7888
NANO;Nano;NANO;1793-2920
NANO COMMUN NETW;Nano Commun.Netw.;Nano Communication Networks;1878-7789
NANO RES;Nano Res.;Nano Research;1998-0124
NANO TODAY;Nano Today;Nano Today;1748-0132
NANOMATER NANOTECHNO;Nanomater. Nanotechnol.;Nanomaterials and Nanotechnology;1847-9804
NANOTECHNOL REV;Nanotechnol. Rev.;Nanotechnology Reviews;2191-9089
NANOTECHNOLOGY;Nanotechnology;NANOTECHNOLOGY;0957-4484
SMART MATER STRUCT;Smart Mater. Struct.;Smart Materials and Structures;0964-1726
SOC COGN AFFECT NEUR;Soc. Cogn. Affect. Neurosci.;Social Cognitive and Affective Neuroscience;1749-5016
VET CLIN PATH;Vet. Clin. Pathol.;VETERINARY CLINICAL PATHOLOGY;0275-6382
VET COMP ORTHOPAED;Vet. Comp. Orthop. Traumatol.;VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY;0932-0814
VET IMMUNOL IMMUNOP;Vet. Immunol. Immunopathol.;VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY;0165-2427
VET SURG;Vet. Surg.;VETERINARY SURGERY;0161-3499
VIRUS GENES;Virus Genes;VIRUS GENES;0920-8569
VISUAL NEUROSCI;Visual Neurosci.;VISUAL NEUROSCIENCE;0952-5238
WASSERWIRTSCHAFT;WasserWirtschaft;WasserWirtschaft;0043-0978
PEPTIDES;Peptides;PEPTIDES;0196-9781
PERCEPTION;Perception;PERCEPTION;0301-0066
PERS UBIQUIT COMPUT;Pers. Ubiquitous Comput.;Personal and Ubiquitous Computing;1617-4909
PERVASIVE MOB COMPUT;Pervasive Mob. Comput.;Pervasive and Mobile Computing;1574-1192
PERVASIVE MOB COMPUT;Pervasive Mob. Comput.;Pervasive and Mobile Computing;1574-1192
PESQUI AGROPECU BRAS;Pesqui. Agropecu. Bras.;PESQUISA AGROPECUARIA BRASILEIRA;0100-204X
PESQUI VET BRASIL;Pesqui. Vet. Bras.;PESQUISA VETERINARIA BRASILEIRA;0100-736X
PETROL SCI TECHNOL;Pet. Sci. Technol.;PETROLEUM SCIENCE AND TECHNOLOGY;1091-6466
PETROL SCI TECHNOL;Pet. Sci. Technol.;PETROLEUM SCIENCE AND TECHNOLOGY;1091-6466
PFLUG ARCH EUR J PHY;Pflugers Arch.;PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY;0031-6768
PHARMACOGENET GENOM;Pharmacogenet. Genomics;Pharmacogenetics and Genomics;1744-6872
SOIL SCI;Soil Sci.;SOIL SCIENCE;0038-075X
SOIL SCI SOC AM J;Soil Sci. Soc. Am. J.;SOIL SCIENCE SOCIETY OF AMERICA JOURNAL;0361-5995
SOL ENERG MAT SOL C;Sol. Energy Mater. Sol. Cells;SOLAR ENERGY MATERIALS AND SOLAR CELLS;0927-0248
SOLID STATE COMMUN;Solid State Commun.;SOLID STATE COMMUNICATIONS;0038-1098
SOLID STATE IONICS;Solid State Ion.;SOLID STATE IONICS;0167-2738
SOLID STATE SCI;Solid State Sci.;SOLID STATE SCIENCES;1293-2558
SOLID STATE TECHNOL;Solid State Technol.;SOLID STATE TECHNOLOGY;0038-111X
SOLVENT EXTR RES DEV;Solvent Extr. Res. Dev.-Jpn.;SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN;1341-7215
NAT BIOMED ENG;Nat. Biomed. Eng;Nature Biomedical Engineering;2157-846X
NAT COMPUT;Nat. Comput.;Natural Computing;1567-7818
PHARMACOLOGY;Pharmacology;PHARMACOLOGY;0031-7012
